Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
3756.780000	90949.635000	-10724.940000	-25360.290000	0.000000	0.000000	0.000000	0.000000	21.642404	24.435037	10.016966	16.681989	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356001.000000	1772914648.623533
3736.845000	90929.385000	-10738.530000	-25383.735000	0.000000	0.000000	0.000000	0.000000	18.441172	23.335201	8.472543	13.687270	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356002.000000	1772914648.623535
3723.210000	90907.605000	-10743.930000	-25392.330000	0.000000	0.000000	0.000000	0.000000	4.730685	9.098327	1.417141	2.404993	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356003.000000	1772914648.627484
3709.935000	90891.360000	-10751.130000	-25398.945000	0.000000	0.000000	0.000000	0.000000	-11.997202	-10.420144	-7.392500	-11.370109	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356004.000000	1772914648.627488
3713.535000	90890.055000	-10749.780000	-25396.245000	0.000000	0.000000	0.000000	0.000000	-22.725132	-24.535619	-12.955095	-19.808753	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356005.000000	1772914648.631599
3728.745000	90907.740000	-10744.245000	-25387.155000	0.000000	0.000000	0.000000	0.000000	-21.803877	-25.671855	-12.201387	-18.259577	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356006.000000	1772914648.631602
3742.650000	90929.070000	-10737.135000	-25378.245000	0.000000	0.000000	0.000000	0.000000	-9.747340	-13.097298	-5.551441	-7.863326	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356007.000000	1772914648.635500
3749.400000	90943.290000	-10733.085000	-25370.460000	0.000000	0.000000	0.000000	0.000000	6.933521	6.627774	3.525806	5.682257	-0.000000	0.000000	-0.000000	-0.000000	1.800680	-1.831200	-4.715340	-0.062622	0.795408	0.602110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356008.000000	1772914648.635503
3744.990000	90945.270000	-10735.515000	-25371.495000	0.000000	0.000000	0.000000	0.000000	19.263163	22.979265	10.419497	15.569866	-0.000000	0.000000	-0.000000	-0.000000	2.441600	0.640920	-4.120200	-0.058410	0.799620	0.599059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356009.000000	1772914648.639543
3739.455000	90933.795000	-10737.810000	-25376.220000	0.000000	0.000000	0.000000	0.000000	21.091539	27.317050	11.882569	17.398534	-0.000000	0.000000	-0.000000	-0.000000	2.441600	0.640920	-4.120200	-0.058410	0.799620	0.599059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356010.000000	1772914648.639546
3750.300000	90914.445000	-10718.100000	-25359.795000	0.000000	0.000000	0.000000	0.000000	12.853856	17.589217	8.189188	11.502885	-0.000000	0.000000	-0.000000	-0.000000	2.441600	0.640920	-4.120200	-0.058410	0.799620	0.599059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356011.000000	1772914648.643529
3737.970000	90898.650000	-10722.330000	-25365.870000	0.000000	0.000000	0.000000	0.000000	0.508036	-0.859264	2.687422	2.386951	-0.000000	0.000000	-0.000000	-0.000000	2.441600	0.640920	-4.120200	-0.058410	0.799620	0.599059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356012.000000	1772914648.643532
3701.160000	90891.180000	-10757.970000	-25399.980000	0.000000	0.000000	0.000000	0.000000	-10.318339	-18.392251	-2.467154	-5.944306	-0.000000	0.000000	-0.000000	-0.000000	2.441600	0.640920	-4.120200	-0.058410	0.799620	0.599059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356013.000000	1772914648.649626
3686.130000	90904.410000	-10775.430000	-25414.020000	0.000000	0.000000	0.000000	0.000000	-17.561659	-26.110619	-8.056565	-12.635421	-0.000000	0.000000	-0.000000	-0.000000	2.441600	0.640920	-4.120200	-0.058410	0.799620	0.599059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356014.000000	1772914648.649630
3706.470000	90927.135000	-10764.405000	-25397.460000	0.000000	0.000000	0.000000	0.000000	-19.373024	-20.152599	-13.148619	-16.258747	-0.000000	0.000000	-0.000000	-0.000000	2.441600	0.640920	-4.120200	-0.058410	0.799620	0.599059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	14.344828	0.000000	-1.000000	-1.000000	356015.000000	1772914648.651673
